observation_date,DCOILWTICO
2022-08-29,97.40
2022-08-30,92.08
2022-08-31,90.09
2022-09-01,87.09
2022-09-02,87.29
2022-09-05,
2022-09-06,87.35
2022-09-07,82.50
2022-09-08,84.04
2022-09-09,87.27
2022-09-12,88.18
2022-09-13,87.84
2022-09-14,88.88
2022-09-15,85.72
2022-09-16,85.57
2022-09-19,86.15
2022-09-20,84.69
2022-09-21,83.38
2022-09-22,84.02
2022-09-23,79.07
2022-09-26,77.17
2022-09-27,78.91
2022-09-28,82.61
2022-09-29,81.78
2022-09-30,79.91
2022-10-03,84.05
2022-10-04,86.87
2022-10-05,88.22
2022-10-06,88.90
2022-10-07,93.07
2022-10-10,91.60
2022-10-11,89.75
2022-10-12,87.83
2022-10-13,89.59
2022-10-14,86.10
2022-10-17,86.00
2022-10-18,83.29
2022-10-19,86.00
2022-10-20,86.02
2022-10-21,85.47
2022-10-24,86.12
2022-10-25,86.93
2022-10-26,89.39
2022-10-27,89.06
2022-10-28,87.85
2022-10-31,86.54
2022-11-01,88.36
2022-11-02,90.06
2022-11-03,88.14
2022-11-04,92.58
2022-11-07,91.80
2022-11-08,88.80
2022-11-09,85.79
2022-11-10,86.52
2022-11-11,89.14
2022-11-14,85.85
2022-11-15,86.87
2022-11-16,85.62
2022-11-17,81.69
2022-11-18,80.07
2022-11-21,79.74
2022-11-22,80.83
2022-11-23,77.93
2022-11-24,
2022-11-25,76.45
2022-11-28,77.10
2022-11-29,77.96
2022-11-30,80.48
2022-12-01,81.06
2022-12-02,79.86
2022-12-05,76.83
2022-12-06,74.21
2022-12-07,71.93
2022-12-08,71.30
2022-12-09,71.05
2022-12-12,72.96
2022-12-13,75.44
2022-12-14,77.14
2022-12-15,75.89
2022-12-16,74.19
2022-12-19,75.05
2022-12-20,75.92
2022-12-21,78.17
2022-12-22,77.68
2022-12-23,79.57
2022-12-26,
2022-12-27,79.45
2022-12-28,78.89
2022-12-29,78.43
2022-12-30,80.16
2023-01-02,
2023-01-03,76.87
2023-01-04,72.82
2023-01-05,73.61
2023-01-06,73.77
2023-01-09,74.69
2023-01-10,75.11
2023-01-11,77.46
2023-01-12,78.32
2023-01-13,79.90
2023-01-16,
2023-01-17,80.25
2023-01-18,79.53
2023-01-19,80.31
2023-01-20,81.27
2023-01-23,81.62
2023-01-24,79.86
2023-01-25,79.78
2023-01-26,80.64
2023-01-27,79.73
2023-01-30,77.97
2023-01-31,78.95
2023-02-01,76.34
2023-02-02,75.87
2023-02-03,73.40
2023-02-06,74.11
2023-02-07,77.17
2023-02-08,78.47
2023-02-09,78.04
2023-02-10,79.74
2023-02-13,80.14
2023-02-14,79.08
2023-02-15,78.57
2023-02-16,78.45
2023-02-17,76.31
2023-02-20,
2023-02-21,76.28
2023-02-22,73.95
2023-02-23,75.26
2023-02-24,76.19
2023-02-27,75.57
2023-02-28,76.88
2023-03-01,77.57
2023-03-02,78.05
2023-03-03,79.62
2023-03-06,80.39
2023-03-07,77.45
2023-03-08,76.56
2023-03-09,75.60
2023-03-10,76.55
2023-03-13,74.68
2023-03-14,71.18
2023-03-15,67.38
2023-03-16,68.15
2023-03-17,66.61
2023-03-20,67.56
2023-03-21,69.40
2023-03-22,70.71
2023-03-23,69.77
2023-03-24,69.22
2023-03-27,72.87
2023-03-28,73.12
2023-03-29,72.95
2023-03-30,74.32
2023-03-31,75.68
2023-04-03,80.40
2023-04-04,80.70
2023-04-05,80.69
2023-04-06,80.70
2023-04-07,
2023-04-10,79.79
2023-04-11,81.54
2023-04-12,83.26
2023-04-13,82.16
2023-04-14,82.58
2023-04-17,80.93
2023-04-18,80.85
2023-04-19,79.18
2023-04-20,77.27
2023-04-21,77.86
2023-04-24,78.64
